,ruleid,rule,upi,fresp,code,function
112,3,Nothing is upright,cmmvtaucbc,you have to stack one of the smaller ones on the left hand side and the bigger one has to be tilted by seventy degrees and the other one has to be sideways but about five degrees up and the smaller one the tip has to face the right and there has to be a smaller block and it has to be a different color about three inches away and it has to be facing the left side,d,
113,3,Nothing is upright,rxnythfslb,they should be different,d,
114,3,Nothing is upright,dhpdbgcmjp,they are all touching,d,"forall(function(x1){exists(function(x2){hor(x1,x2,'contact')}, X)}, X)"
115,3,Nothing is upright,umjngnkkko,three or two need to be stacked up on each other and one has to be on the side,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(hor(x1,x2,'stacked'), not(equal(x1,x3, 'xpos'))), not(equal(x2,x3,'xpos')))}, X)}, X)}, X)"
116,3,Nothing is upright,shvmpeoloq,you cannot have any piece pointing up,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
117,3,Nothing is upright,qosdofjwwl,none of them can be facing up,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
118,3,Nothing is upright,qbtjvqcoju,they have to be certain ways,v,
119,3,Nothing is upright,djldhhbvei,they need to have two big red ones,d,"atleast(function(x1){equal(x1,'red','colour')}, 2, X)"
120,3,Nothing is upright,wtoxeowgar,they cannot be standing up they have to be laying down and some of them have to be touching,o,"forall(function(x1){exists(function(x2){exists(function(x3){and(not(equal(x1,'upright','orientation')), hor(x2,x3,'contact'))}, X)},X)},X)"
121,3,Nothing is upright,mqxmdwvlai,they cannot be facing straight up,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
122,3,Nothing is upright,jgruymmhtv,they all have to be knocked down and they cannot all be the same color,o,"forall(function(x1){exists(function(x2){and(not(equal(x1,'upright','orientation')), not(equal(x1,x2,'colour')))}, X)}, X)"
123,3,Nothing is upright,alyxzksgke,two of the same color have to be touching and the same size,d,"exists(function(x1){exists(function(x2){and(and(hor(x1,x2,'contact'), equal(x1,x2,'size')), equal(x1,x2,'colour'))}, X)}, X)"
124,3,Nothing is upright,guldlbnobg,how many certain colors there are,v,
125,3,Nothing is upright,kgelyqjiet,they all have to be slanted,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
126,3,Nothing is upright,hxdomhiend,there is not much stacking,d,
127,3,Nothing is upright,tdozurlsah,they go sideways with each other,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
128,3,Nothing is upright,ciwzlkkruo,pretty close together,d,
129,3,Nothing is upright,ojeosgkrxi,all of them are not the same,d,"forall(function(x1){forall(function(x2){or(equal(x1,x2,'object'), or(not(equal(x1,x2,'size')), not(equal(x1,x2,'colour'))))}, X)}, X)"
130,3,Nothing is upright,yxvfdkoyfy,you can do any structure you can do whatever you want,d,"exists(function(x1){T}, X)"
131,3,Nothing is upright,xbrfrfvylp,two of them are supposed to be the same way and one is supposed to be smaller and the other way from the others,d,"exists(function(x1) {exists(function(x2) {and(equal(x1,x2,'orientation'), greater(x1,x2,'size'))}, X)}, X)"
132,3,Nothing is upright,azojgnqhin,two of the pieces have to be on top of each other and there needs to be one piece that is not touching anything,d,"exists(function(x1) {exists(function(x2) {forall(function(x3){exists(function(x4) { and(hor(x1,x2,'stacked'), not(hor(x3,x4,'contact')))}, X)}, X)}, X)}, X)"
133,3,Nothing is upright,ncfdqtjgzx,none of them can stand up,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
134,3,Nothing is upright,zlosupqcpk,they have to be different colors and sizes and you have to arrange them in a certain way,v,"forall(function(x1){exists(function(x2){or(not(equal(x1,x2,'colour')), not(equal(x1,x2,'size')))}, X)}, X)"
135,3,Nothing is upright,idctlavwmn,do not know,n,
136,3,Nothing is upright,wswqcsomwl,there has to be at least two that face in separate directions,d,"exists(function(x1){exists(function(x2){not(equal(x1,x2,'orientation'))}, X)}, X)"
